"AVERAGECO2","AVERAGEDELAY","AVERAGEFUEL","DURATIONSTRING","MAXINPUT","MAXTHROUGHPUT","SEG1INPUTRATE","TIMESTEP"
"177.84482793433702","4.5597523024540285","75.67865018482426","00:20:00","45.0","44.0","0.2","0.1"
"177.54244483430395","4.5881289740929745","75.54997652523572","00:20:00","41.0","50.0","0.2","0.1"
"196.55286177385514","42.741336926691346","83.63951564844912","00:20:00","85.0","86.0","0.4","0.1"
"176.72626654658225","5.434657391415623","75.20266661556691","00:20:00","55.0","45.0","0.2","0.1"
"178.48995028358584","4.228664795133479","75.95317033344077","00:20:00","43.0","57.0","0.2","0.1"
