"AVERAGECO2","AVERAGEDELAY","AVERAGEFUEL","DURATIONSTRING","MAXINPUT","MAXTHROUGHPUT","SEG1INPUTRATE","TIMESTEP"
"177.47363840854123","4.768994449047953","75.52069719512392","00:20:00","67.0","52.0","0.2","0.1"
"176.5686686584561","5.170732943988841","75.13560368444938","00:20:00","48.0","45.0","0.2","0.1"
"199.4069383972389","69.17438922585708","84.85401633925079","00:20:00","106.0","96.0","0.4","0.1"
"178.20062064414452","4.265618391439781","75.83005133793384","00:20:00","58.0","53.0","0.2","0.1"
"177.56307666876785","4.648920219626653","75.55875602926291","00:20:00","63.0","58.0","0.2","0.1"
