"AVERAGECO2","AVERAGEDELAY","AVERAGEFUEL","DURATIONSTRING","MAXINPUT","MAXTHROUGHPUT","SEG1INPUTRATE","TIMESTEP"
"176.65838883420872","5.168218391284811","75.17378248264201","00:20:00","72.0","60.0","0.2","0.1"
"176.49798717962273","5.386298397290407","75.10552645941392","00:20:00","52.0","49.0","0.2","0.1"
"231.06689403419358","117.40684953560631","98.326337886891","00:20:00","109.0","76.0","0.4","0.1"
"177.5758052309695","4.557974096817529","75.56417243871041","00:20:00","54.0","45.0","0.2","0.1"
"176.28819665110987","5.383651897665984","75.0162538940893","00:20:00","53.0","54.0","0.2","0.1"
