"AVERAGECO2","AVERAGEDELAY","AVERAGEFUEL","DURATIONSTRING","MAXINPUT","MAXTHROUGHPUT","SEG1INPUTRATE","TIMESTEP"
"177.23018573054188","4.860781450483161","75.41710031086888","00:20:00","58.0","49.0","0.2","0.1"
"177.7875946495222","4.905281024061924","75.65429559554137","00:20:00","50.0","50.0","0.2","0.1"
"203.41306356554824","73.57598706178157","86.5587504534249","00:20:00","96.0","78.0","0.4","0.1"
"178.03758679340575","4.6447854682090455","75.76067523123649","00:20:00","51.0","52.0","0.2","0.1"
"179.3470769850292","4.009081913768474","76.31790510001241","00:20:00","57.0","48.0","0.2","0.1"
